query_id,item_id
i7026,a00786
i7030,v01175
i7033,a00085
i7042,a00911
i7042,a00948
i7044,a00177
i11121,a00647
i11121,s00289
i11121,s0089
i13833,s00722
i13833,s00723
i14524,a00132
i14545,a00954
i1473,s49
i14828,s00964
i14828,s00661
i14828,s0062
i14828,s00536
i14828,a00421
i15534,s91
i15610,v03218
i15631,a00245
i15631,a00235
i15631,s00356
i15634,a00243
i15634,a00776
i15713,a00950
i15716,s001
i15716,v01537
i15716,s002
i15716,v01104
i15716,s53
i15716,s00780
i15840,a00911
i15840,s0057
i15840,a00948
i15841,a00783
i1592,a00107
i1594,s001
i1594,s002
i1594,v01009
i1594,v01567
i1594,s53
i1594,v02805
i1594,a00444
i1594,s00472
i1594,v01034
i16130,a00054
i16130,a00053
i16130,a00144
i16130,a00164
i16130,a00161
i16130,a00182
i16130,a00942
i16130,a00668
i16130,a00177
i16130,a00159
i16130,a00160
i16130,a00393
i16130,a00180
i16130,a00179
i16130,a00135
i16130,a00077
i16130,a00147
i16130,a00055
i16130,a00146
i16132,a00845
i16133,a00390
i16133,a00246
i16134,a00059
i16136,v02768
i16141,a00391
i16150,a00072
i1628,s00411
i1628,s00412
i16217,a00455
i16224,a00231
i1657,v01659
i16530,s00567
i16530,s00730
i16530,s00731
i16530,v00426
i16530,a00107
i16530,s00690
i16536,a00805
i16544,s00722
i16544,s00723
i16546,s00873
i16546,s00874
i16620,a00942
i16638,a00396
i16640,a00277
i16640,a00260
i16640,a00259
i16640,a00271
i1671,s00586
i1671,a00093
i1671,a00225
i1671,a00107
i1671,a00848
i1672,s00608
i1672,s00461
i16712,s00290
i16743,s00318
i16743,s00319
i1681,s00309
i1685,a00143
i1685,a00161
i1685,a00162
i1685,a00177
i1685,a00159
i1685,a00139
i1685,v01608
i1685,a00147
i1685,a00156
i1685,a00179
i1687,a00246
i16836,a00376
i16843,a00251
i16843,a00260
i16843,s39
i16843,a00261
i16843,a00278
i16843,a00263
i16843,a00253
i16843,a00259
i16843,s123
i16843,a00287
i16843,a00262
i16843,a00264
i16843,a00288
i16843,a00265
i16843,a00252
i16843,a00254
i16843,a00277
i1698,v01787
i1698,v01345
i1698,v01284
i1698,v01091
i1698,v01057
i1698,v01104
i1698,v01061
i16922,a00146
i16922,a00159
i16922,a00147
i16922,a00156
i16922,a00163
i16922,a00161
i16922,a00177
i16922,a00162
i16941,s0079
i16941,s0065
i16947,a00085
i16948,a00085
i1704,a00845
i17021,v01184
i17021,v01057
i17021,v01104
i17021,v01787
i17021,s00780
i1764,a00587
i1765,a00587
i1767,a00180
i1767,a00144
i1767,a00390
i17723,a00086
i17723,s00345
i17723,a00072
i17723,a00074
i17724,a00086
i17730,a00954
i17730,a00443
i17735,a00520
i17735,a00350
i17735,a00114
i17737,a00239
i17740,a00496
i17742,v01007
i1788,s00309
i1788,v02931
i1788,s00392
i1788,v00664
i1788,s00160
i1788,v00711
i17812,a00546
i18029,s7
i18029,s95
i18320,a00217
i18320,a00510
i18325,s91
i18325,s00407
i18349,s0065
i18349,a00432
i18349,s0079
i18350,a00175
i18350,s00268
i18518,s001
i18518,s002
i18518,v01034
i18518,v02757
i18518,a00430
i18518,s0058
i18518,s53
i18522,a00443
i18530,a00443
i18535,a00093
i18543,a00076
i18543,a00070
i18543,a00725
i18543,a00075
i1877,a00071
i1877,a00068
i1877,a00096
i1888,a00156
i1888,a00162
i18827,a00773
i18850,s00392
i18925,v01787
i18928,v01104
i19016,s0037
i19017,a00208
i19024,a00948
i19024,a00911
i19025,a00911
i19025,v00614
i19025,a00948
i19030,a00786
i19030,a00877
i19030,v00723
i1919,a00786
i1919,a00107
i19119,a00156
i19119,a00162
i19133,a00694
i19142,a00404
i19142,a00217
i19348,a00807
i19350,a00819
i19439,a00500
i19446,v02055
i19616,s146
i19634,a00773
i19634,a00613
i19639,a00903
i19639,a00908
i1973,a00550
i19731,v01618
i19731,v00894
i19731,s7
i19731,v01027
i19731,v00045
i19731,s95
i19731,s49
i19834,s001
i19834,s002
i19834,s0083
i19834,v01787
i19834,v00894
i1996,a00600
i1997,a00600
i19914,v02803
i19914,a00954
i19915,s0058
i19915,v00045
i19915,s7
i19915,v01104
i19915,s00560
i19915,s00962
i19915,s00963
i19915,s00335
i19915,s00540
i19915,s00780
i19917,a00649
i19917,a00612
i19946,a00911
i19946,a00948
i19946,v00614
i19946,s0057
i2008,a00072
i2008,a00807
i20027,a00554
i20027,a00550
i20027,a00543
i20032,a00543
i20032,a00246
i20036,a00541
i20042,a00545
i20042,a00554
i20043,a00913
i20043,a00385
i20044,a00913
i20144,a00220
i2044,v01537
i2044,v01091
i2044,v01284
i2044,s95
i2049,a00246
i20417,a00161
i20435,v01328
i20436,v01787
i2054,v01328
i20513,v01328
i20524,a00177
i20524,a00161
i20524,a00781
i20524,a00634
i20529,a00594
i20530,a00808
i20621,s00727
i20621,s00496
i20621,s00243
i20621,s00314
i20621,s00315
i20621,s00277
i20628,v01733
i20628,s00513
i20628,s00537
i2074,a00726
i2074,a00205
i2074,a00825
i2082,a00681
i2082,v01555
i2082,a00682
i20819,a00913
i20820,a00913
i20821,a00913
i20824,a00162
i20827,a00459
i20828,a00161
i20837,a00612
i20841,a00587
i20841,a00921
i20911,a00612
i20921,a00799
i20921,a00950
i20921,v00614
i20939,a00085
i20942,v02931
i2103,v00614
i2103,a00950
i2103,a00911
i21038,a00868
i21042,v01787
i21042,v01104
i21042,v01057
i21042,s00780
i21042,v01345
i21042,v01284
i21127,s21
i21127,s00249
i21127,s00492
i21127,s00212
i21127,s00113
i21127,s00734
i21127,s00537
i21127,s00241
i21127,s00276
i21127,s0067
i21127,a00927
i21127,s00465
i21127,s00466
i21127,s00871
i21127,s00872
i21127,s00138
i21137,v01184
i21148,s00106
i21148,s00277
i21148,s006
i21148,s00133
i21148,s00433
i21148,s00443
i21148,s00218
i21148,s00243
i21148,s0082
i21148,s00231
i21148,s00482
i21148,s00365
i2121,v01787
i2121,v02805
i2122,v01787
i2122,v02805
i2123,v01787
i2123,v02805
i2124,v01787
i2124,v02805
i2125,v01787
i2125,v02805
i2126,v01787
i2126,v02805
i2127,v01787
i2127,v02805
i2128,v01787
i2128,v02805
i2129,v01787
i2129,v02805
i21347,v02769
i21445,a00365
i2162,s00335
i2162,s00780
i2162,v01104
i2162,s00560
i2162,v00045
i2164,a00819
i2166,a00641
i2166,s00183
i2166,s00512
i2166,s00490
i2166,s00908
i2166,s00909
i2166,s00569
i2166,v00307
i2166,s00429
i2166,s00164
i2166,s57
i2166,s00416
i2166,s00504
i2166,s00500
i2166,s00501
i2166,s00393
i2166,s00394
i2166,s00546
i2166,s00547
i2166,s00140
i2166,s0090
i2166,s0091
i2166,s00226
i2166,s00132
i2166,s005
i2166,s00414
i2166,s00442
i2166,s00237
i2166,v01666
i21633,a00386
i21633,a00924
i21636,a00950
i21711,a00177
i21711,a00139
i21711,a00140
i21711,a00161
i21711,a00138
i21711,a00147
i21711,a00162
i21711,s00634
i21711,s00635
i21711,a00179
i21714,a00510
i21715,a00072
i21715,a00086
i21718,a00510
i21718,a00225
i21718,a00093
i21718,a00100
i21718,a00708
i21722,a00460
i21725,v01555
i21736,a00093
i21739,a00092
i21749,a00510
i21749,a00069
i21749,a00180
i2182,a00510
i2182,a00372
i2182,a00106
i2182,a00069
i2182,a00937
i2182,a00368
i2182,a00712
i2182,a00708
i21813,a00443
i21822,a00072
i21839,a00898
i21841,a00505
i21841,a00163
i21841,a00177
i21841,a00636
i21841,v01555
i21841,a00503
i21841,a00630
i21841,a00156
i21841,a00633
i2191,a00944
i2199,a00587
i21911,s00475
i21911,s00925
i21911,s00926
i21936,s24
i21949,a00443
i21950,a00443
i22210,s0065
i22210,s00300
i22210,s0079
i22210,a00432
i22212,a00096
i22212,s00334
i22214,a00451
i22214,a00480
i22214,a00449
i22214,a00476
i22233,a00848
i22233,a00612
i2261,s39
i2261,a00260
i2261,a00278
i2261,a00251
i2261,a00280
i2261,s00160
i2261,a00264
i2261,a00253
i2261,a00277
i2261,a00259
i2261,a00252
i2261,s123
i2261,a00268
i2261,a00261
i2261,a00287
i2261,a00263
i2261,a00288
i2264,a00277
i2264,a00263
i2264,v03258
i2264,a00287
i2264,s39
i2264,a00260
i2264,a00280
i2264,a00288
i2264,a00278
i2264,a00264
i2264,a00279
i2264,a00253
i2264,a00285
i2264,a00271
i2264,a00290
i22621,s00116
i22621,v02300
i22621,v01049
i22621,s00210
i22621,s00273
i22621,s00172
i22621,s00540
i2273,a00911
i2273,v00614
i2273,a00948
i22713,a00947
i22714,a00956
i22714,a00947
i22714,a00955
i22720,s39
i22720,a00260
i22720,a00275
i22720,s123
i22720,a00265
i22720,a00274
i22720,a00287
i22720,a00263
i22720,a00278
i22720,a00279
i22720,a00293
i22720,a00268
i22720,a00276
i22720,a00253
i22720,a00264
i22720,a00280
i22720,a00277
i22720,a00254
i22720,a00251
i22722,s00309
i22833,a00086
i22833,a00912
i22840,a00461
i2297,v01104
i2297,s00780
i2299,a00260
i2299,s39
i2299,a00268
i2299,a00277
i2299,a00263
i2299,a00265
i22910,a00260
i22910,s39
i22910,a00268
i22910,a00277
i22910,a00263
i22910,a00265
i22911,a00260
i22911,s39
i22911,a00268
i22911,a00277
i22911,a00263
i22911,a00265
i23050,a00504
i23050,a00708
i23050,a00072
i23050,a00107
i23050,s00345
i23050,a00225
i23050,a00074
i23050,a00717
i2311,a00396
i2311,a00099
i2311,a00108
i2311,a00111
i2311,a00700
i2311,a00247
i2311,a00225
i2313,a00709
i2314,a00073
i2314,a00107
i2314,a00225
i2314,a00504
i2314,a00708
i23124,s00210
i23125,a00606
i23229,a00225
i23229,a00111
i23229,a00948
i23229,a00107
i23229,a00108
i23229,a00700
i23229,a00247
i23229,a00708
i23233,a00535
i23237,a00947
i23438,s00475
i23450,a00581
i23450,a00329
i23450,a00340
i23450,a00354
i23450,a00896
i23450,a00559
i23450,a00301
i23450,a00308
i23450,a00570
i2351,a00556
i2352,a00088
i2352,a00559
i2353,a00557
i2353,a00569
i2355,a00563
i2358,a00348
i23510,a00348
i23510,a00558
i23510,s00104
i23525,a00789
i23525,a00230
i23525,a00107
i23526,a00225
i23526,a00107
i23526,a00073
i23526,a00510
i23533,a00164
i23533,a00393
i23533,a00055
i23533,a00181
i23533,a00396
i2365,s00567
i2366,s00698
i2366,a00435
i2367,s00567
i2367,s00698
i2367,s00657
i2367,s00655
i2367,a00435
i2368,a00789
i2369,a00225
i2369,a00073
i2369,a00247
i2369,s00586
i2369,a00107
i2369,a00099
i2369,a00435
i23613,a00637
i23613,a00935
i23613,a00180
i23613,a00507
i23613,a00156
i23614,v01589
i23614,a00165
i23614,a00161
i23614,a00156
i23614,s00873
i23614,s00874
i23620,s00730
i23620,s00731
i23620,a00107
i23637,s00780
i23640,a00600
i23640,a00607
i23644,a00814
i23644,a00570
i23644,a00075
i23644,a00072
i2383,v00645
i23812,a00443
i23812,a00929
i23817,s00435
i23818,s00435
i23818,s00353
i23819,s00435
i23819,s00288
i23819,v01550
i2451,a00390
i24515,a00484
i24515,a00449
i24530,v01104
i24530,v01787
i24531,v01184
i24533,s00435
i24533,v01104
i24533,v01284
i24533,v01787
i24533,s00780
i24533,v01091
i24533,s00789
i2468,a00948
i2468,a00071
i2468,a00335
i24631,a00393
i24631,a00147
i24631,a00161
i24631,a00162
i24631,a00077
i24640,a00220
i24643,a00162
i24711,v02076
i24713,s0057
i2498,a00119
i24934,a00156
i2505,a00730
i2505,a00072
i2509,a00619
i25011,a00594
i25022,a00880
i25114,s00279
i25114,s00280
i25116,s00279
i25116,s00280
i25117,s00279
i25117,s00280
i25129,a00948
i25148,a00459
i25148,a00451
i2525,a00903
i2525,a00908
i2525,a00076
i2526,s00105
i2526,s0018
i2526,a00107
i2526,a00337
i2526,a00072
i2534,a00138
i2534,s00444
i25312,v01104
i25336,a00713
i25343,a00156
i25344,a00072
i25344,a00708
i25344,a00510
i25344,s00345
i25346,a00054
i25347,a00156
i25349,a00100
i25349,a00107
i25349,a00225
i25349,a00510
i25349,a00717
i25349,a00708
i25422,s00160
i25422,s00309
i25425,a00089
i25430,s0010
i25430,s33
i25430,s34
i25430,s00513
i25431,s45
i25431,s00492
i25431,s00276
i25431,s00537
i25431,s00532
i25431,s00675
i25431,s00530
i25431,s0060
i25431,s00629
i25431,a00934
i25431,s00700
i25431,s00770
i25431,s00513
i25431,s003
i25431,s00311
i25537,a00443
i2562,a00708
i2562,a00107
i2562,a00072
i2562,a00504
i25638,a00449
i25646,a00459
i25715,a00667
i25716,v01181
i25716,a00235
i25716,v01453
i25716,a00230
i25716,v00426
i25716,a00938
i25716,s00690
i25719,a00879
i25730,a00879
i25733,s00584
i25736,a00085
i25738,a00396
i25750,v01659
i25812,v00347
i25826,a00228
i25834,a00139
i25834,a00162
i25834,a00161
i25834,a00177
i25834,a00147
i25834,a00143
i25844,s146
i25844,s00210
i25844,s00509
i25844,s00172
i25844,s00288
i25844,s00407
i25844,s0010
i25844,v01609
i25844,s00314
i25913,v00003
i25927,a00481
i25927,a00490
i25927,a00477
i25927,a00378
i25927,v01045
i25929,a00489
i25929,a00455
i25929,a00488
i25932,v01201
i25936,v01659
i25937,a00954
i2605,s002
i2605,s001
i2605,s53
i2605,s00583
i26019,a00525
i26021,s00391
i26021,s00392
i26021,v02931
i26021,v02927
i26041,s7
i2643,v03218
i2644,v03218
i2645,v03218
i26418,v02768
i26639,v01617
i26645,v01787
i26645,v01104
i26645,v01091
i2682,a00443
i2682,v01311
i26947,v01787
i2705,v01787
a00001,v00679
a00001,s0089
a00001,s00505
a00001,i23613
a00001,s0034
a00001,i826
a00001,v01554
a00001,v01548
a00001,v01555
a00001,s00764
a00001,s00765
a00001,s00289
a00001,i2006
a00002,i23614
a00002,i3324
a00002,i23613
a00002,s00371
a00002,v01548
a00002,i1118
a00002,i2006
a00002,v01554
a00002,i19949
a00002,i1731
a00003,v01201
a00003,i3326
a00003,i1731
a00003,i1118
a00003,i687
a00003,i19949
a00003,i3622
a00003,i16129
a00003,i2006
a00003,i18819
a00003,i24628
a00003,i20919
a00003,i21847
a00003,i3324
a00003,i2563
a00003,i1036
a00003,s00481
a00003,i3325
a00003,i1117
a00003,i19228
a00003,i25036
a00003,i21037
a00004,i3022
a00004,v00479
a00004,s0032
a00004,i5718
a00004,i1618
a00004,i25834
a00004,v01546
a00004,s92
a00004,i20915
a00004,i20916
a00004,i21711
a00004,i262
a00004,s00357
a00004,i5410
a00004,v03339
a00004,s00939
a00005,s00797
a00005,i21841
a00005,v01201
a00005,i21711
a00005,s00644
a00005,i116
a00006,i1415
a00006,s00704
a00006,i163
a00006,s00837
a00006,s00838
a00006,s00730
a00006,s00731
a00006,s00921
a00006,s00685
a00006,i21817
a00007,i3326
a00007,i3622
a00007,i5937
a00007,i3325
a00007,i5929
a00007,i687
a00007,i5936
a00007,i5933
a00007,i3324
a00007,i18819
a00007,i21847
a00007,i5925
a00007,i21037
a00007,i5927
a00007,i5939
a00007,i25047
a00007,i25048
a00007,i21736
a00007,i5923
a00007,i5942
a00007,i20919
a00007,i5924
a00007,i24628
a00007,v01201
a00007,i19228
a00007,i22647
a00008,i19024
a00008,i15840
a00008,i574
a00008,i19946
a00008,i21634
a00008,i572
a00008,i7042
a00008,i5313
a00008,i19025
a00008,i557
a00008,s0057
a00008,i2273
a00008,i5340
a00008,i5311
a00008,v00583
a00008,i5349
a00008,i587
a00008,s00155
a00008,i21817
a00008,s00634
a00008,s00635
a00008,i124
a00008,i3245
a00008,i5312
a00008,i1919
a00009,s00136
a00009,s00947
a00009,s00948
a00009,i6422
a00009,s00610
a00009,i13912
a00009,i486
a00009,s00621
a00009,i20430
a00009,s00718
a00009,i6425
a00009,s00867
a00009,s00868
a00009,i2117
a00009,i4824
a00009,i23446
a00009,v00687
a00009,s00152
a00009,i6423
a00009,i18037
a00009,s00175
a00009,i19616
a00009,i5341
a00009,i13748
a00010,v00679
a00010,i23613
a00010,v01549
a00010,v01548
a00010,v01555
a00010,i24934
a00010,i1888
a00010,v00644
a00010,v01546
a00011,v00679
a00011,v01555
a00011,v01554
a00011,v01546
a00011,i23613
a00011,v01548
a00011,v01549
a00011,s00371
a00011,s0032
a00012,v01554
a00012,v01555
a00012,v01608
a00012,i21841
a00012,v01548
a00012,s10
a00053,i23536
a00053,i23228
a00053,i16130
a00053,i23537
a00053,i2541
a00053,i20828
a00053,i24631
a00053,i25049
a00053,i17725
a00053,i6631
a00053,i675
a00053,i24628
a00053,i5913
a00053,i177
a00053,i1220
a00053,i16619
a00053,i23528
a00053,i116
a00053,i20915
a00054,i1117
a00054,v01554
a00054,i19949
a00054,i1731
a00054,i24628
a00054,i1118
a00054,i5939
a00054,i16130
a00054,v01548
a00054,v01201
a00054,i23536
a00054,i2006
a00054,i24631
a00054,i116
a00055,i2364
a00055,i2541
a00055,i23528
a00055,i1415
a00055,i23537
a00055,i23535
a00055,i23536
a00055,i16223
a00055,i6138
a00055,i23212
a00055,i18942
a00055,i23228
a00055,i24447
a00055,i23621
a00055,i22731
a00055,i24631
a00055,i23144
a00055,i1912
a00055,i23524
a00055,i16222
a00055,i19132
a00055,i1414
a00055,i3513
a00055,i20828
a00055,i25049
a00055,i2368
a00057,i20828
a00057,i14140
a00057,i23536
a00057,i19132
a00057,i4941
a00057,v01201
a00057,i2541
a00057,i23228
a00057,i23639
a00057,i18942
a00057,i18520
a00057,i2549
a00057,i2563
a00057,i14229
a00057,i1459
a00057,i1912
a00057,i20644
a00057,i113
a00057,i18318
a00057,i2509
a00057,i3017
a00057,i16130
a00059,i16316
a00059,i2822
a00059,i15135
a00059,i16134
a00059,i5924
a00059,i6718
a00059,i1445
a00059,i14411
a00059,i14323
a00059,i16425
a00059,i7133
a00059,i523
a00059,i14935
a00059,i16422
a00059,i14433
a00059,i16430
a00059,i1457
a00059,i15134
a00059,i7130
a00059,i16419
a00059,i6521
a00059,i16312
a00059,i16421
a00059,i6719
a00059,i16416
a00059,i16432
a00059,i1459
a00059,i314
a00059,i23828
a00067,i25743
a00067,i19439
a00067,i16541
a00067,i22729
a00067,i2277
a00067,s00364
a00067,i5616
a00067,i18837
a00067,v01661
a00067,i19840
a00067,s00690
a00067,i721
a00067,i722
a00067,s00854
a00068,i721
a00068,i722
a00068,i22729
a00068,i16541
a00068,s00690
a00068,i27
a00068,i210
a00068,i211
a00068,i212
a00068,i213
a00068,i214
a00068,i215
a00068,i222
a00068,i217
a00068,i224
a00069,i21749
a00069,i2182
a00069,i25344
a00069,i503
a00069,i21718
a00069,i2484
a00069,i6627
a00069,i18320
a00069,i19119
a00069,i6648
a00069,i16435
a00069,i2838
a00069,i439
a00069,i441
a00069,i442
a00069,i630
a00069,i21748
a00069,i16439
a00069,i1036
a00069,i16135
a00069,i2113
a00070,i18543
a00070,i262
a00070,i5339
a00070,i21417
a00070,i341
a00070,i5731
a00070,v01661
a00070,i104
a00070,i2924
a00070,i347
a00070,i2008
a00071,i2539
a00071,i21822
a00071,i5731
a00071,i16541
a00071,i21817
a00071,i2468
a00071,i5340
a00071,i21740
a00071,i23644
a00071,i18543
a00071,i23050
a00071,i20730
a00072,i23050
a00072,s00345
a00072,i624
a00072,i71
a00072,i25344
a00072,i2562
a00072,i642
a00072,i21822
a00072,i637
a00072,i2008
a00072,i52
a00072,i42
a00072,i44
a00072,s00283
a00072,i5731
a00072,i16150
a00072,i19114
a00072,i632
a00072,i25743
a00072,i2723
a00073,i3514
a00073,i5646
a00073,i2369
a00073,i2314
a00073,i2115
a00073,i16616
a00073,i18535
a00073,i2364
a00073,i6746
a00073,i2541
a00073,i20815
a00073,i23526
a00073,i23537
a00073,i23535
a00073,i6138
a00073,i26031
a00073,i6712
a00073,i682
a00073,i6643
a00073,i6724
a00073,i3513
a00073,i6725
a00073,i685
a00073,i2562
a00074,i23050
a00074,i1592
a00074,s00345
a00074,i5731
a00074,i25349
a00074,i17723
a00074,i2723
a00074,i19114
a00074,i2539
a00074,v01661
a00074,i2562
a00074,i642
a00075,i18543
a00075,i23644
a00075,i5731
a00075,i21822
a00075,v01661
a00075,s00364
a00075,i2539
a00075,i2515
a00076,i18543
a00076,i5731
a00076,v01661
a00076,s00873
a00076,s00874
a00076,i262
a00076,i2008
a00076,i104
a00076,i5349
a00076,v00645
a00076,i347
a00076,i2924
a00077,i24631
a00077,i21711
a00077,i25834
a00077,i2451
a00077,i3245
a00077,i2549
